Shipment ID,Carrier Name,Zones,Cost_Raw,Cost_Normalized,Cost_A,Cost_B,Cost_C,Cost_D,Surcharge_Ratio
0F10987POIUY,Safe Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
0F10987ZXCVB,Ecom Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
0F32109MNBVC,Delhivery,4,0.0,0.0,0.0,0.0,0.0,0.0,
0F32109POIUY,Ekart Logistics,3,0.0,0.0,0.0,0.0,0.0,0.0,
0F32109ZXCVB,DTDC,1,0.0,0.0,0.0,0.0,0.0,0.0,
0F43210MNBVC,Gati,1,0.0,0.0,0.0,0.0,0.0,0.0,
0F54321LKJHG,Blue Dart,5,0.0,0.0,0.0,0.0,0.0,0.0,
0F54321WXYZA,Gati,3,0.0,0.0,0.0,0.0,0.0,0.0,
0F76543LKJHG,FedEx,5,0.0,0.0,0.0,0.0,0.0,0.0,
0F98765MNBVC,DHL,3,0.0,0.0,0.0,0.0,0.0,0.0,
1F09876ZXCVB,DTDC,1,0.0,0.0,0.0,0.0,0.0,0.0,
1F10987LKJHG,Ecom Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
1F10987POIUY,Ekart Logistics,3,0.0,0.0,0.0,0.0,0.0,0.0,
1F10987ZXCVB,Blue Dart,4,0.0,0.0,0.0,0.0,0.0,0.0,
1F1234567890123450,Delhivery,Zone 3,10.0,10.0,0.0,10.0,0.0,0.0,
1F1234567890123451,DTDC,Zone 4,5.5,0.0,0.0,0.0,0.0,5.5,
1F1234567890123452,Ekart Logistics,Zone 5,7.25,0.0,0.0,0.0,0.0,7.25,
1F1234567890123453,Ecom Express,Zone 6,8.75,0.0,0.0,0.0,0.0,8.75,
1F1234567890123454,FedEx,Zone 1,9.0,9.0,0.0,9.0,0.0,0.0,
1F1234567890123455,Gati,Zone 2,6.25,6.25,0.0,6.25,0.0,0.0,
1F1234567890123456,Blue Dart,Zone 3,7.5,0.0,0.0,0.0,0.0,7.5,
1F1234567890123457,DHL,Zone 4,12.75,0.0,0.0,0.0,0.0,12.75,
1F1234567890123458,Delhivery,Zone 6,11.25,11.25,0.0,11.25,0.0,0.0,
1F1234567890123459,Delhivery,Zone 6,11.25,11.25,0.0,11.25,0.0,0.0,
1F1234567890126001,DTDC,Zone 4,8.25,0.0,0.0,0.0,0.0,8.25,
1F1234567890126002,Ekart Logistics,Zone 5,11.5,11.5,0.0,11.5,0.0,0.0,
1F1234567890126003,FedEx,Zone 6,7.75,7.75,0.0,7.75,0.0,0.0,
1F1234567890126004,Gati,Zone 1,9.0,0.0,0.0,0.0,0.0,9.0,
1F1234567890126005,Blue Dart,Zone 2,10.75,0.0,0.0,0.0,0.0,10.75,
1F1234567890126006,DHL,Zone 3,12.0,12.0,0.0,12.0,0.0,0.0,
1F1234567890126007,Ecom Express,Zone 4,6.5,0.0,0.0,0.0,0.0,6.5,
1F1234567890126008,Delhivery,Zone 5,8.25,0.0,0.0,0.0,0.0,8.25,
1F1234567890126009,DTDC,Zone 6,9.5,9.5,0.0,9.5,0.0,0.0,
